"pred";"se"
"1";32.7750705278761;24.0946851586847
"2";4.64100967305424;37.8069098536271
"3";-4.91077003973326;45.3771264263362
"4";-3.51666829585506;47.8691287577325
"5";16.6760357143587;48.4522819633998
"6";41.1491735368144;48.4957954854497
"7";63.2013844694195;48.4966999340695
"8";81.1218454566628;48.4969337428369
"9";82.9725837263087;48.5207467993664
"10";69.6817466379548;49.1560565747634
"11";45.1442864194365;51.5481038778023
"12";19.9792881529505;55.9612427937298
"13";1.20105191972037;60.641024253261
"14";-4.72857417753487;64.0500498325496
"15";2.48091679798036;65.7987568377802
"16";19.0687876645595;66.4254298429413
"17";39.4565693308449;66.5958311959966
"18";56.3525368390057;66.654485034603
"19";64.1246097401166;66.7734947087889
"20";59.8807220896694;67.2426614022143
"21";45.4119731414944;68.5918092280799
"22";25.6234160139231;71.1194591421987
"23";7.23070278335885;74.4240826846691
"24";-4.01290877796779;77.6044469910799
"25";-5.1252400859302;79.9481323252795
"26";3.41719978400621;81.3158919552796
"27";17.9630961686167;81.988025777556
"28";33.1154597664382;82.3380290216378
"29";43.4410006854832;82.6419920454988
"30";45.3823148370531;83.1440523721485
"31";38.2996152130859;84.1548595850691
"32";24.6327348839155;85.9415561169897
"33";8.91072618479387;88.4610992447624
"34";-3.87567423611166;91.2802845748669
"35";-9.96802533895264;93.8315706798052
"36";-8.03284499949702;95.7521598502561
"37";0.535205171439721;97.0175329078226
"38";12.1957525369135;97.8328124993455
"39";22.5482747200059;98.4596413995908
"40";27.8243171658233;99.1394803472972
